"source"	"target"	"relation"	"relation long"	"tabletID"	"museum Nr"	"excavation Nr"	"publication"	"archive"	"text type"	"subtype"	"place of writing"	"date"	"reign"	"reign order"
"P19863"	P13187	"Agent of"	"Agent of Ina-Esagil-lilbur"	"T00006"	"BM 30256"		"Abraham 2004, no. 5"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"2.8.24 Darius I"	Darius I	16
"P13187"	P19863	"Master of"	"Master of Nidinti-Bēl-damqat"	"T00006"	"BM 30256"		"Abraham 2004, no. 5"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"2.8.24 Darius I"	Darius I	16
"P13187"	P19863	"Represented by"	"Represented by Nidinti-Bēl-damqat"	"T00006"	"BM 30256"		"Abraham 2004, no. 5"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"2.8.24 Darius I"	Darius I	16
"P19863"	P13187	"Slave of"	"Slave of Ina-Esagil-lilbur"	"T00006"	"BM 30256"		"Abraham 2004, no. 5"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"2.8.24 Darius I"	Darius I	16
"P00587"	P02518	"Agent of"	"Agent of Rēmūt-Bēl"	"T00007"	"BM 30261"		"Abraham 2004, no. 6"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"13.4.20 Darius I"	Darius I	16
"P02518"	P00587	"Represented by"	"Represented by Nabû-ittannu"	"T00007"	"BM 30261"		"Abraham 2004, no. 6"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"13.4.20 Darius I"	Darius I	16
"P24786"	P24782	"Brother of"	"Brother of Bēl-idanni"	"T00009"	"BM 29419"		"Waerzeggers 2010, no. 1"	"Ahiya’ūtu"	"Legal document"	"prebendary work contract"	"Borsippa"	"15.8.31 Darius I"	Darius I	16
"P25514"	P25505	"Cousin of"	"Cousin of Mušēzib-Nabû"	"T00011"	"BM 94836"		"Waerzeggers 2010, no. 2"	"Ahiya’ūtu"	"Legal document"	"extra witness (ana šībūti, ana mukinnūti); gift"	"Borsippa"	"29.1. Darius I"	Darius I	16
"P09154"	P25357	"Agent of"	"Agent of Nabû-nādin-ahi"	"T00017"	"BM 30366"		"Abraham 2004, no. 10"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.26 Darius I"	Darius I	16
"P25357"	P09154	"Represented by"	"Represented by Iddināya"	"T00017"	"BM 30366"		"Abraham 2004, no. 10"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"7.9.26 Darius I"	Darius I	16
"P21983"	P24044	"Master of"	"Master of Kalbāya"	"T00018"	"BM 102251"		"Waerzeggers 2010, no. 5"	"Ilia A+B"	"Legal document"	"gift; manumission; work contract"	"Borsippa"	"10.3.22 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15636"	P28997	"Subordinate of"	"Subordinate of Balāṭu"	"T00022"	"BM 30490"		"Abraham 2004, no. 13"	"Egibi Nūr-Sîn"	"Legal document"	"sub-lease contract"	"Babylon"	"05.13.26 Darius I"	Darius I	16
"P28997"	P15636	"Superior of"	"Superior of Nabû-zēru-iqīšanni"	"T00022"	"BM 30490"		"Abraham 2004, no. 13"	"Egibi Nūr-Sîn"	"Legal document"	"sub-lease contract"	"Babylon"	"05.13.26 Darius I"	Darius I	16
"P21983"	P21987	"Brother of"	"Brother of Balāṭu"	"T00025"	"BM 27849"		"Waerzeggers 2010, no. 6"	"Ilia A+B"	"Legal document"	"promissory note"	"Borsippa"	"13.12.36 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P21987"	P21983	"Brother of"	"Brother of Šulāya"	"T00025"	"BM 27849"		"Waerzeggers 2010, no. 6"	"Ilia A+B"	"Legal document"	"promissory note"	"Borsippa"	"13.12.36 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P03937"	P01858	"Agent of"	"Agent of Bēl-erība"	"T00026"	"BM 30589"		"Abraham 2004, no. 15"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"20.3.26 Darius I"	Darius I	16
"P03937"	P01858	"Brother of"	"Brother of Bēl-erība"	"T00026"	"BM 30589"		"Abraham 2004, no. 15"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"20.3.26 Darius I"	Darius I	16
"P01858"	P03937	"Brother of"	"Brother of Iqūpu"	"T00026"	"BM 30589"		"Abraham 2004, no. 15"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"20.3.26 Darius I"	Darius I	16
"P01858"	P03937	"Represented by"	"Represented by Iqūpu"	"T00026"	"BM 30589"		"Abraham 2004, no. 15"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"20.3.26 Darius I"	Darius I	16
"P23586"	P23585	"Brother of"	"Brother of Marduk-zēru-ibni"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21938"	P18316	"Brother of"	"Brother of Marduk-šumu-ibni"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21958"	P18316	"Brother of"	"Brother of Marduk-šumu-ibni"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21961"	P18316	"Brother of"	"Brother of Marduk-šumu-ibni"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P18316"	P21938	"Brother of"	"Brother of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21958"	P21938	"Brother of"	"Brother of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21961"	P21938	"Brother of"	"Brother of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P18316"	P21958	"Brother of"	"Brother of Nabû-ēṭir-napšāti"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21938"	P21958	"Brother of"	"Brother of Nabû-ēṭir-napšāti"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21961"	P21958	"Brother of"	"Brother of Nabû-ēṭir-napšāti"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23585"	P23586	"Brother of"	"Brother of Nabû-šumu-ēreš"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P18316"	P21961	"Brother of"	"Brother of Nergal-iddin"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21938"	P21961	"Brother of"	"Brother of Nergal-iddin"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21958"	P21961	"Brother of"	"Brother of Nergal-iddin"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21987"	P21983	"Brother of"	"Brother of Šulāya"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21983"	P18316	"Father of"	"Father of Marduk-šumu-ibni"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21983"	P21938	"Father of"	"Father of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21983"	P21958	"Father of"	"Father of Nabû-ēṭir-napšāti"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P21983"	P21961	"Father of"	"Father of Nergal-iddin"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23585"	P18316	"Neighbour of"	"Neighbour of Marduk-šumu-ibni"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23586"	P18316	"Neighbour of"	"Neighbour of Marduk-šumu-ibni"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P24915"	P18316	"Neighbour of"	"Neighbour of Marduk-šumu-ibni"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23507"	P21938	"Neighbour of"	"Neighbour of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23771"	P21938	"Neighbour of"	"Neighbour of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23800"	P21938	"Neighbour of"	"Neighbour of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23888"	P21938	"Neighbour of"	"Neighbour of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P24111"	P21938	"Neighbour of"	"Neighbour of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P24915"	P21938	"Neighbour of"	"Neighbour of Nabû-bēlšunu"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23800"	P21958	"Neighbour of"	"Neighbour of Nabû-ēṭir-napšāti"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23507"	P21983	"Neighbour of"	"Neighbour of Šulāya"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23771"	P21983	"Neighbour of"	"Neighbour of Šulāya"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23800"	P21983	"Neighbour of"	"Neighbour of Šulāya"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P23888"	P21983	"Neighbour of"	"Neighbour of Šulāya"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P24111"	P21983	"Neighbour of"	"Neighbour of Šulāya"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P24915"	P21983	"Neighbour of"	"Neighbour of Šulāya"	"T00027"	"BM 26498"		"Waerzeggers 2010, no. 7"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	".13.02 Nabonidus"	Nabonidus	10
"P19005"	P19006	"Brother of"	"Brother of Ina-qībi-Bēl"	"T00028"	"FLP 1434"		"Stigers 1976, no. 37"	"Ṣāhit-ginê B"	"Legal document"	"promissory note"	"Sippar"	"10.13.24 Darius I"	Darius I	16
"P19006"	P19005	"Brother of"	"Brother of Saggillu"	"T00028"	"FLP 1434"		"Stigers 1976, no. 37"	"Ṣāhit-ginê B"	"Legal document"	"promissory note"	"Sippar"	"10.13.24 Darius I"	Darius I	16
"P00005"	P00533	"Agent of"	"Agent of Gūzānu"	"T00032"	"BM 30639"		"Abraham 2004, no. 18"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"28.8.25 Darius I"	Darius I	16
"P00533"	P00005	"Represented by"	"Represented by Širku"	"T00032"	"BM 30639"		"Abraham 2004, no. 18"	"Egibi Nūr-Sîn"	"Legal document"	"receipt"	"Babylon"	"28.8.25 Darius I"	Darius I	16
"P16437"	P26812	"Child of"	"Child of Arrabu"	"T00033"	"BM 30641"		"Abraham 2004, no. 19"	"Egibi Nūr-Sîn"	"Administrative document"	"memorandum"	"Not mentioned"	"NN"	NN	null
"P26812"	P16437	"Father of"	"Father of Nabû-bullissu"	"T00033"	"BM 30641"		"Abraham 2004, no. 19"	"Egibi Nūr-Sîn"	"Administrative document"	"memorandum"	"Not mentioned"	"NN"	NN	null
"P01669"	P00036	"Brother of"	"Brother of Iddin-Marduk"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P00036"	P01669	"Brother of"	"Brother of Kāṣiru"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P02560"	P02656	"Brother of"	"Brother of Ubārtu"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P02560"	P19278	"Child of"	"Child of Damqāya"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P02656"	P19278	"Child of"	"Child of Damqāya"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P00036"	P15725	"Master of"	"Master of Nanāya-kēširat "	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P01669"	P15725	"Master of"	"Master of Nanāya-kēširat "	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P19278"	P02656	"Mother of"	"Mother of Ubārtu"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P19278"	P02560	"Mother of"	"Mother of Šamaš-uballiṭ"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P02656"	P02560	"Sister of"	"Sister of Šamaš-uballiṭ"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15725"	P00036	"Slave of"	"Slave of Iddin-Marduk"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15725"	P01669	"Slave of"	"Slave of Kāṣiru"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15725"	P02656	"Slave of"	"Slave of Ubārtu"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15725"	P02560	"Slave of"	"Slave of Šamaš-uballiṭ"	"T00034"	"BM 32919"		"Wunsch 1993b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Babylon"	"19.10.28 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P09142"	P15988	"Master of"	"Master of Bābu-ēṭirat"	"T00035"	"BM 31004"		"Wunsch 1993b, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Borsippa"	"16.5.29 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15710"	P15988	"Master of"	"Master of Bābu-ēṭirat"	"T00035"	"BM 31004"		"Wunsch 1993b, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Borsippa"	"16.5.29 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P09142"	P09235	"Master of"	"Master of Itti-Nabû-īnīa"	"T00035"	"BM 31004"		"Wunsch 1993b, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Borsippa"	"16.5.29 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15710"	P09235	"Master of"	"Master of Itti-Nabû-īnīa"	"T00035"	"BM 31004"		"Wunsch 1993b, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Borsippa"	"16.5.29 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P09235"	P09142	"Slave of"	"Slave of Guzummu"	"T00035"	"BM 31004"		"Wunsch 1993b, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Borsippa"	"16.5.29 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15988"	P09142	"Slave of"	"Slave of Guzummu"	"T00035"	"BM 31004"		"Wunsch 1993b, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Borsippa"	"16.5.29 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P09235"	P15710	"Slave of"	"Slave of Nabû-ēṭir-napšāti"	"T00035"	"BM 31004"		"Wunsch 1993b, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Borsippa"	"16.5.29 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15988"	P15710	"Slave of"	"Slave of Nabû-ēṭir-napšāti"	"T00035"	"BM 31004"		"Wunsch 1993b, no. 3"	"Egibi Nūr-Sîn"	"Legal document"	"purchase"	"Borsippa"	"16.5.29 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P21961"	P18316	"Brother of"	"Brother of Marduk-šumu-ibni"	"T00036"	"BM 25625"		"Waerzeggers 2010, no. 8"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	"23.4.11 Nabonidus"	Nabonidus	10
"P21961"	P21958	"Brother of"	"Brother of Nabû-ēṭir-napšāti"	"T00036"	"BM 25625"		"Waerzeggers 2010, no. 8"	"Ilia A+B"	"Legal document"	"inheritance-related"	"Borsippa"	"23.4.11 Nabonidus"	Nabonidus	10
"P15733"	P00036	"Business partner of"	"Business partner of Iddin-Marduk"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15753"	P00036	"Business partner of"	"Business partner of Iddin-Marduk"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P00036"	P15733	"Business partner of"	"Business partner of Nabû-zuqup-bēlšu"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P00029"	P15753	"Business partner of"	"Business partner of Ša-Nabû-lišlim"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P00036"	P15753	"Business partner of"	"Business partner of Ša-Nabû-lišlim"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15753"	P00029	"Business partner of"	"Business partner of Širiktu"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P20200"	P19306	"Husband of"	"Husband of Qīšāya"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P20200"	P15753	"Master of"	"Master of Ša-Nabû-lišlim"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15753"	P20200	"Slave of"	"Slave of Īnīa"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P15733"	P15753	"Subordinate of"	"Subordinate of Ša-Nabû-lišlim"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P19306"	P20200	"Wife of"	"Wife of Īnīa"	"T00041"	"BM 30494"		"Wunsch 1993b, no. 12"	"Egibi Nūr-Sîn"	"Legal document"	"partnership, creation"	"Babylon"	"24.13.33 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P26280"	P00043	"Grandfather of"	"Grandfather of Nergal-zēru-ibni"	"T00042"	"BM 30281"		"Wunsch 2000b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"promissory note, with antichretic pledge"	"Babylon"	"05.13.36 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P00043"	P26280	"Grandson of"	"Grandson of [...]ri"	"T00042"	"BM 30281"		"Wunsch 2000b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"promissory note, with antichretic pledge"	"Babylon"	"05.13.36 Nebuchadnezzar II"	Nebuchadnezzar II	6
"P00043"	P02641	"Nephew of"	"Nephew of Taqīš-Gula "	"T00042"	"BM 30281"		"Wunsch 2000b, no. 1"	"Egibi Nūr-Sîn"	"Legal document"	"promissory note, with antichretic pledge"	"Babylon"	"05.13.36 Nebuchadnezzar II"	Nebuchadnezzar II	6
