Tablet ID	Orig Tablet ID	Museum nr	Excavation_NR	Publication	Archive	Text type	Subtype	Main Objects	Place of writing	Babylonian date (D.M.Y King)	Julian date	Comments	CDLI	BM	Nabucco	Achemenet	Oracc	Author	Attestation ids	Orig. Attestation ids	
T00011	11	BM 94836		Waerzeggers 2010, no. 2	Ahiya’ūtu	Legal document	"extra witness (ana šībūti, ana mukinnūti); gift"	"billatu (beer); Ezida bīt Nabû (temple of Nabû in Borsippa); kapru (beer offering); other; sirāšûtu (brewer’s prebend); šussullu (vessel)"	Borsippa	29.1. Darius I	-		https://cdli.ucla.edu/P521502	https://www.britishmuseum.org/collection/object/W_1901-1012-489	-	-	-	Caroline Waerzeggers (15/01/18)	"""A00079; A00082; A00084; A00087; A00088; A00093; A07660"""	"79; 82; 84; 87; 88; 93; 7660"	
T00012	12	FLP 1468		Stigers 1976, no. 33	Ṣāhit-ginê B	Legal document	"promissory note; purchase"	"harrānu (business venture); immeru (sheep); kaspu bitqu nuhhutu lā ginnu (scrap unstamped silver with 1/8 alloy); kaspu peṣû (white silver)"	Sippar	26.4.12 Darius I			https://cdli.ucla.edu/dl/photo/P459976.jpg					Melanie Groß (15/01/2018)	"""A00085; A00086; A00089; A00094; A00099; A00101; A00104; A00105; A00106; A00109; A00110; A56983"""	"85; 86; 89; 94; 99; 101; 104; 105; 106; 109; 110; 56983"	
T00013	13	BM 30274		Abraham 2004, no. 8	Egibi Nūr-Sîn	Legal document	work contract	"dullu (work); makurru (boat)"	Babylon	13.4.24 Darius I	498	Release from work (dullu) for having worked on a makurru boat.	-	https://www.britishmuseum.org/collection/object/W_1876-1016-24	http://nabucco.arts.kuleuven.be/item/31540	-	-	Maarja Seire (15/01/2018)	"""A00090; A00091; A00092; A00095; A00096; A00097; A47638"""	"90; 91; 92; 95; 96; 97; 47638"	
T00014	14	BM 94638		Waerzeggers 2010, no. 3	Ahiya’ūtu	Legal document	work contract	"billatu (beer); dannu (vat); naptanu (meal)"	Borsippa	14.11. Darius I	-		https://cdli.ucla.edu/P521503	https://www.britishmuseum.org/collection/object/W_1901-1012-291	-	-	-	Caroline Waerzeggers (15/01/18)	"""A00098; A00100; A00102; A00103; A07661"""	"98; 100; 102; 103; 7661"	
T00015	15	BM 30297		Abraham 2004, no. 9	Egibi Nūr-Sîn	Legal document	receipt	"ilku (corvée); qēmu (flour tax)"	Babylon	6.9.24 Darius I	498		-	https://www.britishmuseum.org/collection/object/W_1876-1117-17	http://nabucco.arts.kuleuven.be/item/31678	-	-	Maarja Seire (15/01/2018)	"""A00107; A00108; A00112; A00114; A00116; A00117; A47639"""	"107; 108; 112; 114; 116; 117; 47639"	
T00016	16	BM 94556		Waerzeggers 2010, no. 4	Ilia A+B	Legal document	exchange	"ararrūtu (miller’s prebend); Emahgirzal bīt Mar-bīti (temple of Mār-bīti in Borsippa); Ezida bīt Nabû (temple of Nabû in Borsippa); tardennu maštītu (beer offering); tilimtu (container)"	Borsippa	21.2.18 Nabopolassar	608		https://cdli.ucla.edu/P521504	https://www.britishmuseum.org/collection/object/W_1901-1012-209	-	-	-	Caroline Waerzeggers (15/01/2018)	"""A00111; A00113; A00115; A00118; A00122; A00123; A00127; A00128; A00130; A00131; A07664"""	"111; 113; 115; 118; 122; 123; 127; 128; 130; 131; 7664"	
T00017	17	BM 30366		Abraham 2004, no. 10	Egibi Nūr-Sîn	Legal document	receipt	"gišru (bridge); ilku (corvée); panāt qašti (payment of bow service)"	Babylon	7.9.26 Darius I	496		-	https://www.britishmuseum.org/collection/object/W_1876-1117-88	http://nabucco.arts.kuleuven.be/item/31816	-	-	Maarja Seire (15/01/2018)	"""A00119; A00120; A00121; A00124; A00125; A00126; A00129; A47640"""	"119; 120; 121; 124; 125; 126; 129; 47640"	
T00018	18	BM 102251		Waerzeggers 2010, no. 5	Ilia A+B	Legal document	"gift; manumission; work contract"	"billatu (beer); dannu (vat); dannu haṣbu (terracotta vat); hanšû (hanšû-land); kasû (mustard-seed); kirû (orchard); kurummatu (ration); naptanu (meal); qallu (slave); uṭṭatu (barley)"	Borsippa	10.3.22 Nebuchadnezzar II	583?	The slave is manumitted, receives a date palm garden from his former master, and is obligated to deliver 150 vats of beer for the offerings (to Nabû presumably) per year to his former master. The ex-slave will also receive barley rations from his former master.	https://cdli.ucla.edu/P202351	https://www.britishmuseum.org/collection/object/W_1906-0512-172	-	-	-	Caroline Waerzeggers (15/01/2018)	"""A00153; A00154; A00160; A00162; A00164; A00166; A00167; A00168; A00169; A00170; A07665"""	"153; 154; 160; 162; 164; 166; 167; 168; 169; 170; 7665"	
T00019	19	BM 30370		Abraham 2004, no. 11	Egibi Nūr-Sîn	Legal document	purchase	"eleppu (boat); kaspu peṣû bitqu lā ginnu (unstamped white silver with 1/8 alloy); rukkubu (cargo boat); sahlû (cress); šīmu (price); sû (reed mat)"	Babylon	3.5.26 Darius I	496	"Cf. Abraham 2004, 29; the boat is first identified as GIŠ.MÁ, the last lines of text add that it is a rukkubu boat."	-	https://www.britishmuseum.org/collection/object/W_1876-1117-92	http://nabucco.arts.kuleuven.be/item/31957	-	-	Maarja Seire (15/01/2018)	"""A00132; A00133; A00134; A00135; A00136; A00137; A00138; A00139; A47641"""	"132; 133; 134; 135; 136; 137; 138; 139; 47641"	
T00020	20	BM 94594		Waerzeggers 2010, p. 384	Ilia A+B	Legal document	NN	NN	Borsippa	10.3.22 Nebuchadnezzar II	583	See BM 102251.	-	https://www.britishmuseum.org/collection/object/W_1901-1012-247	-	-	-	Caroline Waerzeggers (15/01/2018)	NN	NN	
T00021	21	BM 30446		Abraham 2004, no. 12	Egibi Nūr-Sîn	Legal document	receipt	"bītu (house); manâtu (account tablet); šādidu (boat tower)"	Broken/Unclear	4.8.24 Darius I	498	According to the document, 6 boat towers have been received, but the tablet lists only 4. However, it seems to include Libluṭ and Erība?-Marduk as boat towers.    Cf. BM 30795	-	https://www.britishmuseum.org/collection/object/W_1876-1117-173	http://nabucco.arts.kuleuven.be/item/32092	-	-	Maarja Seire (16/01/2018)	"""A00140; A00141; A00142; A00143; A00144; A00145; A00146; A00147; A00148; A00149; A00150; A47642"""	"140; 141; 142; 143; 144; 145; 146; 147; 148; 149; 150; 47642"	
T00022	22	BM 30490		Abraham 2004, no. 13	Egibi Nūr-Sîn	Legal document	sub-lease contract	"eleppu (boat); idū (rent); kaspu peṣû (white silver); kaspu peṣû nuhhutu (white scrap silver); kurummatu (ration); malāhūtu (sailor’s trade)"	Babylon	05.13.26 Darius I	[495]		-	https://www.britishmuseum.org/collection/object/W_1876-1117-217	https://nabucco.arts.kuleuven.be/item/32227	-	-	Maarja Seire (16/01/2018)	"""A00151; A00152; A00155; A00156; A00157; A00158; A00159; A00161; A08412"""	"151; 152; 155; 156; 157; 158; 159; 161; 8412"	
T00024	24	BM 30541		Abraham 2004, no. 14	Egibi Nūr-Sîn	Legal document	promissory note	kaspu peṣû bitqu nuhhutu (white scrap silver with 1/8 alloy)	Babylon	.0.25 Darius I	497/496		-	https://www.britishmuseum.org/collection/object/W_1876-1117-268	http://nabucco.arts.kuleuven.be/item/32362	-	-	Maarja Seire (16/01/2018)	"""A00171; A00172; A00173; A00174; A00175; A00177; A00178; A51651"""	"171; 172; 173; 174; 175; 177; 178; 51651"	
T00025	25	BM 27849		Waerzeggers 2010, no. 6	Ilia A+B	Legal document	promissory note	"ebūr isqi (yield of the prebend); maššartu (prebendary payment); suluppū (dates)"	Borsippa	13.12.36 Nebuchadnezzar II	568		https://cdli.ucla.edu/P521505	https://www.britishmuseum.org/collection/object/W_1898-0711-114	-	-	-	Caroline Waerzeggers (16/01/2018)	"""A00176; A00179; A00180; A00182; A00183; A00185; A00187; A07666"""	"176; 179; 180; 182; 183; 185; 187; 7666"	
T00026	26	BM 30589		Abraham 2004, no. 15	Egibi Nūr-Sîn	Legal document	receipt	"giṭṭu (receipt); ilku (corvée); kaspu (silver); kaspu bitqu nuhhutu (scrap silver with 1/8 alloy); qaštu (bow tax)"	Babylon	20.3.26 Darius I	496		-	https://www.britishmuseum.org/collection/object/W_1876-1117-316	http://nabucco.arts.kuleuven.be/item/32497	-	-	Maarja Seire (16/01/2018)	"""A00189; A00190; A00192; A00195; A00198; A00200; A00202; A00209"""	"189; 190; 192; 195; 198; 200; 202; 209"	
T00027	27	BM 26498		Waerzeggers 2010, no. 7	Ilia A+B	Legal document	inheritance-related	"abullu uqnû (Lapis lazuli Gate); bīt šutummi (temple workshop); eqlu (field); mūṣû qatnu āṣû (narrow through-street); mūtaq ilāni (thoroughfare of the gods); Nabû; pitru (empty plot); qanû (plot of land); sūqu qatnu āṣû (narrow through-street); sūqu rapšu (wide street); ṭuppu (tablet, record); unspecified prebend; zēru (arable land)"	Borsippa	.13.02 Nabonidus	553		https://cdli.ucla.edu/P521506	https://www.britishmuseum.org/collection/object/W_1898-0514-316	-	-	-	Caroline Waerzeggers (16/01/2018)	"""A00193; A00194; A00197; A00201; A00204; A00207; A00208; A00210; A00219; A00222; A00229; A00230; A00231; A00232; A00260; A00262; A00263; A00264; A00265; A00266; A00267; A00270; A04391; A07667"""	"193; 194; 197; 201; 204; 207; 208; 210; 219; 222; 229; 230; 231; 232; 260; 262; 263; 264; 265; 266; 267; 270; 4391; 7667"	
T00028	28	FLP 1434		Stigers 1976, no. 37	Ṣāhit-ginê B	Legal document	promissory note	"bītu (house); kaspu peṣû bitqu nuhhutu lā ginnu (white scrap unstamped silver with 1/8 alloy); qaqqadu (capital); šīmu (price)"	Sippar	10.13.24 Darius I			https://cdli.ucla.edu/dl/photo/P459943.jpg					Melanie Groß (16/01/2018)	"""A00211; A00212; A00213; A00214; A00215; A00216; A00218; A00221; A00224; A57234"""	"211; 212; 213; 214; 215; 216; 218; 221; 224; 57234"	
T00029	29	BM 30591		Abraham 2004, no. 16	Egibi Nūr-Sîn	Legal document	promissory note	"gimru (transport expenses); uṭṭatu (barley)"	Babylon	27.8.25 Darius I	after 487	The tablet is partially broken.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-318	http://nabucco.arts.kuleuven.be/item/32638	-	-	Maarja Seire (16/01/2018)	"""A00217; A00220; A00223; A00225; A00226; A00227; A00228; A08413"""	"217; 220; 223; 225; 226; 227; 228; 8413"	
T00030	30	FLP 1449		JCS 28, 45	Maštuk	Legal document	summary	"amēlūtu (slaves); harrānu (business venture); kaspu peṣû (white silver); rašûtu (credit); u’iltu (promissory note)"	Not mentioned	NN			https://cdli.ucla.edu/dl/photo/P459957.jpg					Melanie Groß (16/01/2018)	"""A57359; A57360; A57361; A57362; A57363; A57364; A57365; A57366; A57367; A57368; A57369; A57370; A57371; A57372"""	"57359; 57360; 57361; 57362; 57363; 57364; 57365; 57366; 57367; 57368; 57369; 57370; 57371; 57372"	
T00031	31	BM 30629		Abraham 2004, no. 17	Egibi Nūr-Sîn	Legal document	summons	"kaspu (silver); nidintu ša qašti"	Hursag-kalamma	12.8.6 Darius I	516	Gūzānu, the obligor, has to go to Babylon to come to an agreement with Marduk-nāṣir-apli, the obligee.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-356	http://nabucco.arts.kuleuven.be/item/30568	-	-	Maarja Seire (16/01/2018)	"""A00233; A00234; A00235; A00236; A00237; A00238; A51652"""	"233; 234; 235; 236; 237; 238; 51652"	
T00032	32	BM 30639		Abraham 2004, no. 18	Egibi Nūr-Sîn	Legal document	receipt	"gimru (transport expenses); giṭṭu (receipt); tamirtu (irrigated farmland); uṭṭatu (barley)"	Babylon	28.8.25 Darius I	497	Probably paid in silver (kaspu), but it is not mentioned in this document.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-366	http://nabucco.arts.kuleuven.be/item/30706	-	-	Maarja Seire (16/01/2018)	"""A00239; A00240; A00241; A00242; A00243; A00244; A00245; A00246; A00247; A08414"""	"239; 240; 241; 242; 243; 244; 245; 246; 247; 8414"	
T00033	33	BM 30641		Abraham 2004, no. 19	Egibi Nūr-Sîn	Administrative document	memorandum	"kaspu peṣû (white silver); kasû (mustard-seed); šamaššammū (sesame); tahsistu lā mašê (memorandum)"	Not mentioned	NN	-	Note about payment that Arrabi promised to Širku (Marduk-nāṣir-apli?).	-	https://www.britishmuseum.org/collection/object/W_1876-1117-368	http://nabucco.arts.kuleuven.be/item/30985	-	-	Maarja Seire (16/01/2018)	"""A00248; A00249; A00250"""	"248; 249; 250"	
T00034	34	BM 32919		Wunsch 1993b, no. 1	Egibi Nūr-Sîn	Legal document	purchase	"amēlūtu (slaves); arad-šarrūtu (royal servant/slave); kaspu (silver); mâr banûtu (status of a citizen); šīmu (price)"	Babylon	19.10.28 Nebuchadnezzar II	[577]		https://cdli.ucla.edu/P507758	https://www.britishmuseum.org/collection/object/W_1878-0531-8	https://nabucco.arts.kuleuven.be/item/30181	-	-	Maarja Seire (17/01/2018)	"""A00251; A00252; A00253; A00254; A00255; A00256; A00257; A00258; A00259; A00261; A14555; A14558"""	"251; 252; 253; 254; 255; 256; 257; 258; 259; 261; 14555; 14558"	
T00035	35	BM 31004		Wunsch 1993b, no. 3	Egibi Nūr-Sîn	Legal document	purchase	"amēlūtu (slaves); kaspu bitqu (silver with 1/8 alloy); mâr banûtu (status of a citizen); šīmu (price); sipru (document in Aramaic)"	Borsippa	16.5.29 Nebuchadnezzar II	576	The duplicate BM 31375 (76-11-17, 1102) is unpublished.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-731	http://nabucco.arts.kuleuven.be/item/29542	-	-	Maarja Seire (17/01/2018)	"""A00268; A00269; A00271; A00272; A00273; A00274; A00276; A14597"""	"268; 269; 271; 272; 273; 274; 276; 14597"	
T00036	36	BM 25625		Waerzeggers 2010, no. 8	Ilia A+B	Legal document	inheritance-related	"billatu (beer); dannu (vat); eššešu (a temple festival); Ezida bīt Nabû (temple of Nabû in Borsippa); gabrû (copy); kapru (beer offering); kaspu (silver); Mullissu (Ninlil); Nabû; narkabtu (deified chariot); Šamaš; sirāšûtu (brewer’s prebend); takpurtu (equalising payment); tardennu (beer offering); tilimtu (container); ṭuppi zitti (inheritance document)"	Borsippa	23.4.11 Nabonidus	545		https://cdli.ucla.edu/P521507	https://www.britishmuseum.org/collection/object/W_1898-0216-679	-	-	-	Caroline Waerzeggers (17/01/2018)	"""A00275; A00277; A04409; A04411; A04412; A04413; A04414; A04415; A07668"""	"275; 277; 4409; 4411; 4412; 4413; 4414; 4415; 7668"	
T00037	37	BM 31375		Unpublished	Egibi Nūr-Sîn	Legal document	NN	NN	Borsippa	16.5.29 Nebuchadnezzar II	576	The duplicate is published in Wunsch 1993b, no. 3 and in hand copy in Nbk 201.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-1102	https://nabucco.arts.kuleuven.be/item/29542	-	-	Maarja Seire (17/01/2018)	NN	NN	
T00038	38	BM 31556		Wunsch 1993b, no. 9	Egibi Nūr-Sîn	Legal document	other	"kaspu (silver); nikkassu (account); nudunnû (dowry)"	Babylon	22.2.33 Nebuchadnezzar II	572	This is a note recording that Zēria gave silver as a dowry to Iddin-Marduk, that the silver is due from Iddin-Marduk and Kāṣiru, and that they have not settled their accounts yet. Cf. Roth 1991, p. 24 n. 10.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-1283	http://nabucco.arts.kuleuven.be/item/30166	-	-	Maarja Seire (17/01/2018)	"""A00278; A00279; A00280; A00281; A00282; A00283; A00284; A25510"""	"278; 279; 280; 281; 282; 283; 284; 25510"	
T00040	40	BM 30634		Wunsch 1993b, no. 11	Egibi Nūr-Sîn	Legal document	partnership-related	"harrānu (business venture); kaspu ša ina 1 šiqil girê (silver which has 1/12 alloy per shekel); kaspu ša ina 1 šiqil hummušu (silver which has 1/5 of a shekel of alloy in each shekel); u’iltu (promissory note)"	Babylon	22.9.33 Nebuchadnezzar II	572	The text records that a part of the silver which is due from Mušēzib-Marduk, belongs to Širiktu(/Nūrea//Dannēa)'s investments in a partnership business. The creditor, who is not mentioned, is Iddin-Marduk/Iqīšāya//Nūr-Sîn.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-361	http://nabucco.arts.kuleuven.be/item/29137	-	-	Maarja Seire (18/01/2018)	"""A00296; A00298; A00299; A00300; A00301; A00302; A25507"""	"296; 298; 299; 300; 301; 302; 25507"	
T00041	41	BM 30494		Wunsch 1993b, no. 12	Egibi Nūr-Sîn	Legal document	partnership, creation	"ahu (half); harrānu (business venture); kaspu (silver); mimma mala ina āli u ṣēri (profits in town and countryside); rašûtu (credit); utru (profit); zittu (share)"	Babylon	24.13.33 Nebuchadnezzar II	571	Creation of sister company.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-221	http://nabucco.arts.kuleuven.be/item/29746	-	-	Maarja Seire (18/01/2018)	"""A00303; A00304; A00305; A00306; A00307; A00308; A00309; A00310; A00311; A25513"""	"303; 304; 305; 306; 307; 308; 309; 310; 311; 25513"	
T00042	42	BM 30281		Wunsch 2000b, no. 1	Egibi Nūr-Sîn	Legal document	promissory note, with antichretic pledge	"broken/unclear; ebūru (usufruct); eqlu (field); hubullu (interest); kālû (dike, marshy ground, waterlogged area); kaspu (silver); maškanu (pledge); rašûtu (credit); zēru (arable land); zittu (inheritance share)"	Babylon	05.13.36 Nebuchadnezzar II	568	There is no interest on the silver. Instead, the creditors can enjoy the usufruct of the pledged land.	-	https://www.britishmuseum.org/collection/object/W_1876-1117-1	http://nabucco.arts.kuleuven.be/item/30340	http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328200	-	Maarja Seire (18/01/2018)	"""A00312; A00313; A00314; A00315; A00316; A00317; A00318; A00319; A00320; A25516; A25519"""	"312; 313; 314; 315; 316; 317; 318; 319; 320; 25516; 25519"	
T00043	43	O 637		Wunsch 2000b, no. 2	Egibi Nūr-Sîn	Legal document	purchase	"eqlu (field); kālû (dike, marshy ground, waterlogged area); kaspu (silver); kirî gišimmarī zaqpu (planted date palm grove); mahīru (market rate); maškanu (pledge); nīš ili u šarri (oath); nudunnû (dowry); pīhat Cutha (district of Cutha); rīhtu/rīhitu (remainder, rest); šīmu (price); ṭuppu (tablet, record); ugāru (meadowland); zēru (arable land); zittu (share)"	Babylon	25.9.00 Neriglissar	560	The purchase money is also used to pay off the creditor to whom this land was pledged.	-	-	http://nabucco.arts.kuleuven.be/item/28882	http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328203	-	Maarja Seire (18/01/2018)	"""A00321; A00322; A00323; A00324; A00325; A00326; A00327; A00328; A00329; A00330; A00331; A00332; A26812; A27490"""	"321; 322; 323; 324; 325; 326; 327; 328; 329; 330; 331; 332; 26812; 27490"	
T00044	44	BM 41505		Wunsch 2000b, no. 3	Egibi Nūr-Sîn	Legal document	purchase	"broken/unclear; šīmu (price); zēru (arable land)"	Broken/Unclear	NN	-	Witness list and scribe's name broken. Only a part of the obverse is preserved. Wunsch mentions traces of a seal caption.	-	https://www.britishmuseum.org/collection/object/W_1881-0625-118	http://nabucco.arts.kuleuven.be/item/29131	http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328206	-	Maarja Seire (18/01/2018)	"""A00333; A00334; A00335; A00336"""	"333; 334; 335; 336"	
T00045	45	BM 41399		Wunsch 2000b, no. 6	Egibi Nūr-Sîn	Legal document	purchase	"abulli Enlil (Enlil Gate); alpu (bull, ox); atru (additional payment); eqel ṣēri (open country); Esagil (temple of Marduk in Babylon); gišimmaru rabû (full grown date palm); kaspu (silver); kaspu šibirtu (silver in pieces); mahīru (market rate); makallû ša hanšê (mooring place of the hanšû-land); makkūr Marduk (land of god Marduk); Marduk; mērešu (grain-cultivated land); pīhat šarri (royal district); šīmu (price); šullundu (compensation payment); šuqultu (value); taptû (newly cleared land); ṭuppu (tablet, record); zēru gišimmarī zaqpu (land planted with date palms); zēru tālāni (land with young date palms)"	Babylon	08.12.00 Neriglissar	559	The tablet comments on the bordering areas very explicitly. Besides the attested neighbours the land is situated next to the royal domain and the dam of the hanšus in the open country (eqel ṣēri).    The silver will be used to compensate the Esagil temple for the bulls that the sellers of the land had bought.    In rev. 35 the sellers are referred to as 'the descendants (DUMU.MEŠ) of Ēṭiru'.	-	https://www.britishmuseum.org/collection/object/W_1881-0625-10	http://nabucco.arts.kuleuven.be/item/29260	http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328215	-	Maarja Seire (18/01/2018)	"""A00337; A00338; A00339; A00340; A00341; A00342; A00343; A00344; A00345; A00346; A00347; A00348; A00349; A00350; A00351; A00352; A00353; A00354; A00355; A00356; A00357; A32281; A33424"""	"337; 338; 339; 340; 341; 342; 343; 344; 345; 346; 347; 348; 349; 350; 351; 352; 353; 354; 355; 356; 357; 32281; 33424"	
T00046	46	A 1567+		Wunsch 2000b, no. 4	Egibi Nūr-Sîn	Legal document	dispute-related	"dibbu (dispute); ebūru (harvest); eqlu (field); hubuttūtu (interest free loan); kaspu (silver); kirî gišimmarī (date palm grove); maškanu (pledge); nishu (expenses, payment for workers); pīhat Cutha (district of Cutha); rīhtu/rīhitu (remainder, rest); rīmūtu (gift); širiktu (gift; votive offering); ugāru (meadowland); zittu (share)"	Babylon	.9. Nabonidus	-	"RTC 12 A and B (new number A 1567 and A 1585, previously R. Campell Thompson, now University Museum, Chicago). The document includes the formula: pāni PN1, PN2, PN3, PN4, PN5, PN6 dayyānē šaṭāri šāṭir + PN7 & PN8 ṭupšarrū (""in front of ... the judges, the document was written, ... the scribes"")."	-	-	http://nabucco.arts.kuleuven.be/item/29962	http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328209	-	Maarja Seire (19/01/2018)	"""A00358; A00359; A00360; A00361; A00362; A00363; A00364; A00365; A00366; A00367"""	"358; 359; 360; 361; 362; 363; 364; 365; 366; 367"	
